Leaf Node,Leaf Interface,Leaf IP Address,Spine Node,Spine Interface,Spine IP Address
DC1-BL1A,Ethernet1,172.31.255.21/31,DC1-SPINE1,Ethernet6,172.31.255.20/31
DC1-BL1A,Ethernet2,172.31.255.23/31,DC1-SPINE2,Ethernet6,172.31.255.22/31
DC1-BL1B,Ethernet1,172.31.255.25/31,DC1-SPINE1,Ethernet7,172.31.255.24/31
DC1-BL1B,Ethernet2,172.31.255.27/31,DC1-SPINE2,Ethernet7,172.31.255.26/31
DC1-LEAF1A,Ethernet1,172.31.255.1/31,DC1-SPINE1,Ethernet1,172.31.255.0/31
DC1-LEAF1A,Ethernet2,172.31.255.3/31,DC1-SPINE2,Ethernet1,172.31.255.2/31
DC1-LEAF2A,Ethernet1,172.31.255.5/31,DC1-SPINE1,Ethernet2,172.31.255.4/31
DC1-LEAF2A,Ethernet2,172.31.255.7/31,DC1-SPINE2,Ethernet2,172.31.255.6/31
DC1-LEAF2B,Ethernet1,172.31.255.9/31,DC1-SPINE1,Ethernet3,172.31.255.8/31
DC1-LEAF2B,Ethernet2,172.31.255.11/31,DC1-SPINE2,Ethernet3,172.31.255.10/31
DC1-SVC3A,Ethernet1,172.31.255.13/31,DC1-SPINE1,Ethernet4,172.31.255.12/31
DC1-SVC3A,Ethernet2,172.31.255.15/31,DC1-SPINE2,Ethernet4,172.31.255.14/31
DC1-SVC3B,Ethernet1,172.31.255.17/31,DC1-SPINE1,Ethernet5,172.31.255.16/31
DC1-SVC3B,Ethernet2,172.31.255.19/31,DC1-SPINE2,Ethernet5,172.31.255.18/31
